Subject,Predicate,Object
Ray Charles,gesprochene oder publizierte Sprachen,Englisch
Vanuatu,Mitglied von,Internationale Fernmeldeunion
Kenny Rogers,Plattenlabel,RCA Records
Ungarn,Mitglied von,Internationale Fernmeldeunion
Miranda Cosgrove,Instrument,Gitarre
Irak,diplomatische Beziehung,Kuba
Jerry Reed,Tätigkeit,Gitarrist
James Joyce,Religionszugehörigkeit,Katholizismus
Richard Sennett,Tätigkeit,Schriftsteller
Johnny Hallyday,Tätigkeit,Aufnahmekünstler
Sierra Leone,Mitglied von,Afrikanische Union
Oscar Wilde,gesprochene oder publizierte Sprachen,Englisch
Lyman Frank Baum,Tätigkeit,Schriftsteller
François-René de Chateaubriand,Mitglied von,Bayerische Akademie der Wissenschaften
Üzeyir Hacıbəyov,Religionszugehörigkeit,Islam
Kroatien,diplomatische Beziehung,Vereinigte Staaten
Mary Shelley,Genre,Kurzgeschichte
Cyndi Lauper,Tätigkeit,Sänger
Virginia Woolf,Tätigkeit,Essayist
Katharine McPhee,Ehepartner(in),David Foster
Norman Mailer,beeinflusst von,George Eliot
Anatoli Wassiljewitsch Lunatscharski,Parteizugehörigkeit,Kommunistische Partei der Sowjetunion
Marlene Dietrich,Land der Staatsangehörigkeit,Weimarer Republik
Bud Spencer,Tätigkeit,Filmproduzent
Portugal,diplomatische Beziehung,Indonesien
Nena,Land der Staatsangehörigkeit,Deutschland
Bob Dylan,Instrument,Mundharmonika
Volksrepublik China,diplomatische Beziehung,Luxemburg
Jemaine Clement,Land der Staatsangehörigkeit,Vereinigte Staaten
Eugène-Melchior de Vogüé,gesprochene oder publizierte Sprachen,Französisch
Arthur Schopenhauer,Wohnsitz,Hamburg
Vanessa Hudgens,Genre,Tanzmusik
Gabriel García Márquez,Tätigkeit,Autor
Paula Abdul,Plattenlabel,Virgin Records
Amerie,Tätigkeit,Schauspieler
Yoko Ono,Plattenlabel,Polydor
Linda Ronstadt,Instrument,Gitarre
Ľudovít Štúr,gesprochene oder publizierte Sprachen,Polnisch
Verka Serduchka,Genre,Folk-Rock
Jacob Grimm,Tätigkeit,Übersetzer
T. S. Eliot,Mitglied von,Accademia Nazionale dei Lincei
Sheryl Crow,Tätigkeit,Pianist
Karl Mannheim,Arbeitgeber,Ruprecht-Karls-Universität Heidelberg
David Cross,Tätigkeit,Komiker
Todd Rundgren,Tätigkeit,Sänger
Tadschikistan,Mitglied von,Weltpostverein
Teena Marie,Land der Staatsangehörigkeit,Vereinigte Staaten
Ferdinand von Richthofen,Begräbnisort,Berlin
Chris Cornell,Tätigkeit,Komponist
Marietta Sergejewna Schaginjan,Tätigkeit,Schriftsteller
Ilja Grigorjewitsch Ehrenburg,Tätigkeit,Dichter
Australien,diplomatische Beziehung,Fidschi
Hermann Burmeister,Mitglied von,Deutsche Akademie der Naturforscher Leopoldina
Duke Ellington,Todesursache,Bronchialkarzinom
Aserbaidschan,Mitglied von,Asiatische Entwicklungsbank
Berry Gordy,Tätigkeit,Autobiograf
Aaron Copland,Tätigkeit,Pianist
George Soros,Geburtsort,Budapest
Bahrain,Mitglied von,Internationale Finanz-Corporation
Kroatien,diplomatische Beziehung,Saudi-Arabien
Rick Rubin,Plattenlabel,Epic Records
Paraguay,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Südafrika,diplomatische Beziehung,Botswana
Athanasius Kircher,Land der Staatsangehörigkeit,Heiliges Römisches Reich
Mary J. Blige,Bevölkerungsgruppe,Afroamerikaner
Stanisław Lem,Genre,Philosophie
Kornei Iwanowitsch Tschukowski,gesprochene oder publizierte Sprachen,Russisch
Truman Capote,Tätigkeit,Romancier
J. R. R. Tolkien,Tätigkeit,Linguist
Christa Wolf,Arbeitsgebiet,Essay
Kenia,diplomatische Beziehung,Volksrepublik China
Kornei Iwanowitsch Tschukowski,Geburtsort,Sankt Petersburg
Marshallinseln,Mitglied von,AKP-Gruppe
Eric Burdon,Genre,Hard Rock
Geoffrey Ingram Taylor,Mitglied von,Königlich Schwedische Akademie der Wissenschaften
Charles Rosen,Tätigkeit,Schriftsteller
Nordkorea,diplomatische Beziehung,Norwegen
Mosambik,diplomatische Beziehung,Republik China
Südafrika,diplomatische Beziehung,Brasilien
Kroatien,diplomatische Beziehung,Iran
Angela Merkel,Tätigkeit,Politiker
Jaan Kaplinski,Tätigkeit,Science-Fiction-Schriftsteller
Eric Idle,Tätigkeit,Schauspieler
Thomas Henry Huxley,Land der Staatsangehörigkeit,Vereinigtes Königreich Großbritannien und Irland
Trinidad und Tobago,diplomatische Beziehung,Vereinigtes Königreich
Philippinen,Mitglied von,Asiatische Entwicklungsbank
Dschibuti,Mitglied von,UNESCO
Benjamin Franklin,Tätigkeit,Wirtschaftswissenschaftler
John Hartford,Instrument,Stimme
Vanessa Carlton,Plattenlabel,A&M Records
Philip Roth,beeinflusst von,Joseph Conrad
Wilhelm von Humboldt,Mitglied von,Bayerische Akademie der Wissenschaften
Lauryn Hill,Tätigkeit,Musiker
A. R. Rahman,Genre,elektronische Musik
Herbert Grönemeyer,Plattenlabel,EMI
Barthold Georg Niebuhr,Mitglied von,Königlich Niederländische Akademie der Wissenschaften
Wilhelm Wundt,beeinflusst von,Gottfried Wilhelm Leibniz
Bahamas,diplomatische Beziehung,Republik China
Tom Hanks,Tätigkeit,Schauspieler
Theodosius Dobzhansky,Tätigkeit,Schriftsteller
Kasachstan,Mitglied von,Organisation für das Verbot chemischer Waffen
Cliff Richard,Land der Staatsangehörigkeit,Vereinigtes Königreich
Russell Brand,Tätigkeit,Drehbuchautor
Kolumbien,Mitglied von,Organisation Amerikanischer Staaten
Weißrussland,diplomatische Beziehung,Dänemark
Barbra Streisand,Tätigkeit,Filmregisseur
Billy Crystal,Tätigkeit,Filmschauspieler
Roger Penrose,Tätigkeit,Physiker
Afghanistan,diplomatische Beziehung,Iran
Russland,diplomatische Beziehung,Sri Lanka
Kanada,diplomatische Beziehung,Bulgarien
Kolumbien,ist Teil von,Hispanoamerika
Gaspard Monge,Mitglied von,Preußische Akademie der Wissenschaften
Benjamin Franklin,Tätigkeit,Schriftsteller
Schores Iwanowitsch Alfjorow,Parteizugehörigkeit,Kommunistische Partei der Sowjetunion
Mark Wahlberg,Tätigkeit,Sänger
Ben Moody,Tätigkeit,Gitarrist
James Maslow,Instrument,Klavier
Philip Roth,beeinflusst von,John Updike
Joe Walsh,Tätigkeit,Komponist
Iwan Andrejewitsch Krylow,Todesursache,Lungenentzündung
Simon Sechter,Sterbeort,Wien
Roger Waters,Instrument,Bassgitarre
George Eliot,Religionszugehörigkeit,Atheismus
Oprah Winfrey,Wohnsitz,Nashville
Geddy Lee,Genre,Hard Rock
Wolfgang Amadeus Mozart,Tätigkeit,Musikpädagoge
Burkina Faso,Mitglied von,Internationale Organisation der Frankophonie
Demokratische Republik Kongo,Mitglied von,Internationale Finanz-Corporation
Claude Lévi-Strauss,beeinflusst von,Georg Wilhelm Friedrich Hegel
Ernst Mach,Tätigkeit,Professor
Gabun,Mitglied von,Organisation für Islamische Zusammenarbeit
Ricky Martin,Instrument,Stimme
Russell Brand,Tätigkeit,Dichter
Indien,diplomatische Beziehung,Kambodscha
Jewgeni Alexandrowitsch Jewtuschenko,Tätigkeit,Prosaist
Nikolai Wassiljewitsch Gogol,Tätigkeit,Autor
Südafrika,diplomatische Beziehung,Mosambik
Al Jolson,Land der Staatsangehörigkeit,Russisches Kaiserreich
Che Guevara,Tätigkeit,Lehrer
Walerija Iljinitschna Nowodworskaja,Tätigkeit,Dichter
Severo Ochoa,Mitglied von,Russische Akademie der Wissenschaften
Céline Dion,Religionszugehörigkeit,römisch-katholische Kirche
Michail Wassiljewitsch Lomonossow,Mitglied von,Sankt Petersburger Akademie der Wissenschaften
Thomas Hobbes,Arbeitsgebiet,Philosophie
Australien,Mitglied von,Internationale Entwicklungsorganisation
Charles Bukowski,beeinflusst von,Ezra Pound
Costa Rica,Mitglied von,Internationale Finanz-Corporation
Alberto Manguel,Mitglied von,Royal Society of Literature
Alyson Michalka,Land der Staatsangehörigkeit,Vereinigte Staaten
Bulgarien,diplomatische Beziehung,Südafrika
Philip Glass,Plattenlabel,Virgin Records
Spike Lee,Tätigkeit,Filmproduzent
T-Bone Walker,Tätigkeit,Singer-Songwriter
Kirgisistan,Mitglied von,Asiatische Entwicklungsbank
Malaysia,diplomatische Beziehung,Brunei
Dschibuti,Mitglied von,AKP-Gruppe
Adam Lambert,Tätigkeit,Sänger
Brian Molko,Instrument,Gitarre
Woody Allen,Tätigkeit,Komiker
Costa Rica,Mitglied von,Welthandelsorganisation
Polen,diplomatische Beziehung,Russland
Seamus Heaney,Arbeitgeber,Harvard University
"Marie Jean Antoine Nicolas Caritat, Marquis de Condorcet",Tätigkeit,Schriftsteller
Ludwig Geiger,Tätigkeit,Biograph
Peter Debye,Tätigkeit,Professor
Suzi Quatro,Plattenlabel,Arista Records
Jeff Bridges,Tätigkeit,Fotograf
Barbra Streisand,Genre,Jazz
Edward Sabine,Land der Staatsangehörigkeit,Königreich Großbritannien
Ferdinand von Richthofen,Tätigkeit,Hochschullehrer
Ernst Mayr,Land der Staatsangehörigkeit,Vereinigte Staaten
Adriano Celentano,Tätigkeit,Aufnahmekünstler
Kanada,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Georgien,diplomatische Beziehung,Republik China
Russland,diplomatische Beziehung,Slowenien
Romain Rolland,Land der Staatsangehörigkeit,Frankreich
Igor Strawinsky,Land der Staatsangehörigkeit,Vereinigte Staaten
Uruguay,diplomatische Beziehung,Bolivien
50 Cent,Land der Staatsangehörigkeit,Vereinigte Staaten
