ID,label,description
Q753110,Songschreiber,"Person, die Songs verfasst"
Q36834,Komponist,"Person, die Musikstücke komponiert"
Q128124,Toningenieur,für Tonaufnahmen und ihre Wiedergabe verantwortlicher Techniker
Q639669,Musiker,"Person, die Musik komponiert oder interpretiert"
Q13235160,Produzent,"Person, die Waren oder Dinge herstellt"
Q188451,Musikgenre,"Kategorie, die Musik nach bestimmten Merkmalen gruppiert"
Q9778,elektronische Musik,"Musik, die elektronisch hergestellt und mit Lautsprechern wiedergegeben wird"
Q37073,Popmusik,Musikform
Q187760,New Wave,Musikstil
Q373342,populäre Musik,Musikgenres mit hoher Reichweite
Q638,Musik,organisierte Form von Schallereignissen
Q11399,Rockmusik,Musikstil
Q41710,Ethnie,"Gruppe von Menschen, denen eine kollektive Identität oder Abstammung zugesprochen wird"
Q7278,politische Partei,organisierter Zusammenschluss von Menschen zu einem politischen Verband
Q43229,Organisation,soziale Struktur mit einem gemeinsamen Ziel
Q1254773,Instrumentenfamilie,Gruppe von Musikinstrumenten
Q8434,Ausbildung,Vermittlung von Fertigkeiten und Wissen
Q36180,Schriftsteller,"Person, die literarische Texte verfasst"
Q28771895,Liedkomponist,"Komponist, der die Musik zu Liedern schreibt"
Q4164871,Position,"Stellung, die mit Macht und Verantwortung ausgestattet ist in einer privaten, öffentlichen oder staatlichen Organisation"
Q43845,Geschäftsmann,"Person, die Geschäfte tätigt, um Gewinn zu erwirtschaften"
Q131524,Unternehmer,Leiter eines Wirtschaftsunternehmens
Q3455803,Regisseur,"Person, die Werke der darstellenden Kunst inszeniert"
Q482980,Autor,Verfasser oder geistige Urheber eines sprachlichen Werkes
Q47541952,Produzent,Medien- und Unterhaltungsberuf
Q879146,Denomination,"Glaubensgemeinschaft mit eigenem Namen, eigener Tradition und spezieller Prägung"
Q3586152,Episkopalkirche,Konfessionsbezeichnung innerhalb der christlichen Ökumene
Q902104,Privatuniversität,private Hochschule mit dem Rang einer Universität
Q49447,Weltanschauung,philosophische oder theologische Denkmodelle
Q9174,Religion,Glaube mit metaphysischem oder transzendentem Inhalt
Q6607,Gitarre,Musikinstrument
Q810447,Bass,Instrument
Q31629,Sportart,Teilgebiet des Sports
Q42486,Ringen,Kampf- und Kraftsport mit Ganzkörpereinsatz ohne weitere Hilfsmittel
Q184485,darstellende Kunst,Kunstgattung
Q7128792,Kampfsport,Kämpfen als Sport
Q3301053,City and County,Verwaltungseinheit der Vereinigten Staaten (Stadt und Landkreis zugleich)
Q13590141,Moderator,"Person, die ein Gespräch lenkt oder in einer Kommunikation vermittelt"
Q44508716,Fernsehpersönlichkeit,"Person, die der Öffentlichkeit in erster Linie durch ihre Auftritte in Fernsehsendungen bekannt ist"
Q138858,Unterhaltungskünstler,"Person, die ein Publikum unterhält"
Q2066131,Sportler,"Person, die regelmäßig eine oder mehrere Sportarten betreibt"
Q15987302,juristischer Beruf,"Berufe, die Gesetze entwickeln, studieren, anwenden oder interpretieren"
Q185351,Jurist,"Akademiker, der ein Studium der Rechtswissenschaft abgeschlossen hat (kein geschützter Begriff)"
Q34651,Kirche,soziale Organisationsform christlicher Religion
Q13414953,Konfession,"Untergruppe innerhalb einer Religion, die sich in Lehre, Organisation oder Praxis von anderen Untergruppen unterscheidet"
Q52040,hochdeutsche Dialekte,Sprachfamilie
Q11822042,Verkehrsunfall,Unfall im Transportwesen
Q18536342,Spieler,Teilnehmer eines sportlichen Wettbewerbs
Q1081491,Football,Ballsportart
Q901,Wissenschaftler,"Person mit wissenschaftlicher Ausbildung, die sich mit Wissenschaft beschäftigt"
Q35657,Bundesstaat der Vereinigten Staaten,Gliedstaat der USA
Q37351,Langues d’oïl,romanische Sprache in Nordfrankreich und Belgien
Q6266,Nation,"Kollektive von Menschen, denen gemeinsame kulturelle Merkmale zugeschrieben werden"
Q2472587,Volk,"Gruppen von Menschen, die aufgrund bestimmter kultureller Gemeinsamkeiten und enger Beziehungen verbunden sind"
Q11197007,ethnisch-religiöse Gruppe,"Gruppe von Menschen, die eine Ethnie und eine Religion bilden."
Q57735705,Person im Rechtswesen,"Person, definiert im Rechtswesen einer Gemeinschaft"
Q5322166,Designer,Beruf
Q242468,Schneider,Handwerker für die Herstellung von Kleidung und Textilien
Q12136,Krankheit,"Störung der Funktion eines Organs, der Psyche oder des gesamten Organismus"
Q1931388,Todesursache,Ursache für den Eintritt des Sterbevorgangs und des Todes
Q188151,Ischämie,"Krankheit, Minderdurchblutung"
Q844935,koronare Herzkrankheit,Krankheit
Q183888,Softwareentwickler,"Person, die an der Erstellung von Software mitwirkt"
Q38723,Hochschule,"Ort der postsekundären Bildung (z. B. Universitäten, berufsbildende Universitäten, Volkshochschulen, Kunsthochschulen der Freien Künste, Institute für Technologie und andere)"
Q4671277,akademische Einrichtung,akademische Einrichtung für Lehre und Forschung
Q11974939,Gesundheitsfachmann,"Person, die sich mit der Behandlung von Krankheiten und Behinderungen auseinandersetzt"
Q3332438,Facharzt,Arzt mit einer anerkannten Weiterbildung auf einem medizinischen Fachgebiet
Q212238,Beamter,Person im öffentlichen Dienst
Q373021,Luftfahrtpersonal,"Personen, die an der bemannten Luftfahrt aktiv, gewerblich oder privat, mitwirken"
Q23640580,Fahrzeugführer,Führer eines Fahrzeugs
Q1188663,Colonial Colleges,Kolonialschulen in den Gründungsstaaten der USA
Q15127012,Town in den Vereinigten Staaten,Verwaltungseinheit in den USA
Q1058914,Softwareunternehmen,Unternehmen das Software entwickelt
Q4830453,Geschäftsbetrieb,gewerbliche oder kaufmännische Geschäftseinheit
Q6881511,Unternehmen,wirtschaftlich selbständige Organisationseinheit
Q955824,Gelehrtengesellschaft,Zusammenschluss wissenschaftlich gebildeter Personen zur Förderung einer akademischen Disziplin
Q2057971,Erkrankung,Abweichung vom physiologischen Zustand
Q23540,Protestantismus,christliche Konfession
Q5043,Christentum,Weltreligion
Q15319501,Sozialwissenschaftler,"Akademiker, der im Bereich der Sozialwissenschaften tätig ist"
Q875538,staatliche Universität,staatlich finanzierte Hochschule
Q1549591,Großstadt,Stadt mit mindestens 100.000 Einwohnern
Q5123999,Stadt mit Oblast-Bedeutung,Verwaltungseinheit der Ukraine
Q144713,ostslawische Sprachen,Sprachfamilie
Q101849,Calvinismus,theologische Bewegung des französischen Reformators aus Genf Johannes Calvin
Q15980158,Sachbuchautor,"Autor, der Sachbücher verfasst"
Q37226,Lehrer,"Person, deren Aufgabe es ist, Menschen beim Erwerb von Wissen, Kompetenzen und Werten zu assestieren"
Q3400985,Akademiker,"Person, die als Lehrer oder Forscher an einer Universität arbeitet"
Q41835716,akademischer Angestellter,an einer Fakultät Unterrichtender
Q877517,Ball- und Kugelsportart,"Sammelbegriff für Sportarten, die mit einem Ball oder einer Kugel gespielt werden"
Q2426135,Rückschlagspiel,Ballsportvariante
Q15243209,historisches Gebiet,denkmalgeschütztes Gebiet
Q156631,ugrische Sprachen,Sprachfamilie
Q11422631,UN-Depotbibliothek,von den Vereinten Nationen anerkannte Bibliothek
Q891723,börsennotiertes Unternehmen,"privatrechtliches Unternehmen, dessen Unternehmensanteile börsennotiert sind"
Q31855,Forschungseinrichtung,"soziale Einheit, die Forschungsprojekte oder Forschungsprogramme durchführt"
Q45199,Seemann,"Person, die ihren Arbeitsplatz auf Schiffen hat"
Q61065,Wassersport,in oder auf dem Wasser ausgetragene Sportarten
Q192520,Segeln,Fortbewegung unter der Nutzung von Wind
Q17537576,kreatives Werk,ausgeprägte künstlerische Kreation
Q1047113,Fachgebiet,bestimmtes Wissensgebiet begrenzte Wissen
Q2188189,musikalisches Werk,in sich abgeschlossenes Werk der Musik
Q11862829,Einzelwissenschaft,eigenes Fachgebiet in der akademischen Bildungslandschaft
Q47407603,künstlerisches Schaffen,"Tätigkeit, bei der ein Kunstwerk geschaffen wird"
Q268592,Wirtschaftszweig,"Gruppe von Unternehmen, die ähnliche Produkte herstellen oder Leistungen gleicher Art erbringen"
Q8148,Industrie,Teil der Wirtschaft
Q19595701,Unterhaltungsindustrie,Teilbereich der Medienindustrie
Q56055944,Kunstgattung,"die auf das künstlerische Ausdrucksmedium bezogenen Formen der Kunst (z.B. Literatur, Musik, bildende Kunst)"
Q2018526,Künste,"Gesamtheit von bildender und darstellender Kunst, sowie Literatur und Musik"
Q25295,Sprachfamilie,Gruppe genetisch verwandter Sprachen
Q152559,Makrosprache,Sprachenklasse nach ISO 639
Q45961,sinotibetische Sprachen,Sprachfamilie
Q47064,Militär,"Begriff, um die Mitglieder der Streitkräfte zu beschreiben"
Q192581,Tätigkeit,Arbeit im ökonomischen Sinn
Q130949,Skifahren,Gleiten eines Skifahrers auf zwei Skiern über den Schnee
Q703534,Arbeitnehmer,"Person, die bei einem Arbeitgeber arbeitet"
Q1250916,Krieger,"Person, welche für Kämpfe und Kriegseinsätze spezialisiert ist"
Q3149875,Luftfahrtvorfall,"Ereignis in der Luftfahrt, in der die Sicherheit gefährdet war"
Q39614,Friedhof,Bestattungsort verstorbener Menschen oder Tiere
Q1497364,Gebäudekomplex,Menge von zusammengehörenden Gebäuden
Q3354859,Förderale Universität,Universitätstypus
Q2961975,Unternehmensleiter,Leiter eines Unternehmens
Q58635633,Medienberuf,Berufsgruppe
Q1663017,Ingenieurschule,Hoch- oder Fachschule für Ingenieurswissenschaften
Q13212489,County von Kalifornien,Verwaltungseinheit in Kalifornien
Q34749,Sozialwissenschaft,"Wissenschaftliche Disziplin, die sich mit der Gesellschaft und den Beziehungen in ihr beschäftigt"
Q1143635,Business School,"Bildungseinrichtungen, die auf betriebswirtschaftliche Studiengänge spezialisiert sind"
Q20820271,Graduiertenschule,Doktorandenkolleg
Q1371037,technische Universität,promotionsberechtigte Hochschulen mit einem breiten Angebot an Ingenieurfächern und naturwissenschaftlichen Fächern
Q11051,Hindustani,nordindische Sprache
Q12859263,Redner,öffentlicher Redner
Q12328016,Mystiker,"Person, die sich mit Mystik beschäftigt"
Q336,Wissenschaft,"Erweiterung, Weitergabe und Gesamtheit des Wissens"
Q627436,Arbeitsgebiet,bestimmtes Fachgebiet begrenzten Tätigkeitsbereich in Wirtschaft und Wissenschaft
Q2267705,Studienfach,"Ausbildungsgang an einer Universität, einer Künstlerischen Akademie oder einer technischen Hochschule"
Q117850,Doktrin,System von Ansichten und Aussagen
Q1930187,Journalist,"Person, die Nachrichten und andere Informationen sammelt, schreibt und verteilt"
Q123705,Stadtviertel oder Ortsteil,"geografisch lokalisierte Gemeinschaft innerhalb einer größeren Stadt, Stadt, Vorstadt oder ländlichen Region"
Q62049,County Seat,Verwaltungssitz eines Countys in den Vereinigten Staaten
Q742782,lechische Sprachen,Sprachfamilie
Q33478,Latino-Faliskische Sprachen,Sprachfamilie
Q146665,südslawische Sprachen,Sprachfamilie
Q2042538,hellenische Sprachen,Sprachfamilie
Q390424,Südwestiranische Sprachen,Sprachfamilie
Q494600,Oghusisch,Zweig der Turksprachen
Q192170,Prakrit,indoarische Sprache
Q153050,Niederfränkisch,Sprachfamilie
Q615948,jüdische Sprachen,Sprachen verschiedener Gruppen ethnischer oder religiöser Juden
Q747547,kanaanäische Sprachen,Untergruppe der semitischen Sprachen
Q34049,semitische Sprachen,Sprachfamilie
Q5062122,Krankheit des zentralen Nervensystems,"Typ einer Krankheit, welche das  zentrale Nervensystem schädigt"
Q163740,Non-Profit-Organisation,"Einrichtung, die gemeinnützigen sozialen, kulturellen oder wissenschaftlichen Zielen ihrer Mitglieder dient"
Q1438040,Forschungsbibliothek,"Bibliothek, die der Forschung dient"
Q5774403,Geschichtsverein,sich mit Geschichtsforschung befassender Verein
Q201788,Historiker,"Wissenschaftler, der sich mit der Erforschung und Darstellung der Geschichte beschäftigt"
Q215627,Person,"Individuum mit bestimmten Fähigkeiten und Eigenschaften (nicht zur Verwendung mit P31, in diesem Fall stattdessen Q5 Mensch verwenden)"
Q187588,soziale Klasse,Klasse von Menschen mit gemeinsamen sozialen Merkmalen
Q3704253,Händler,"Person oder Gesellschaft, die Handel betreibt"
Q3551775,französische Universität,Universitäten in Frankreich
Q50637,Kunstgeschichte,Wissenschaft von der historischen Entwicklung der bildenden Künste
Q1066186,Geschichtswissenschaft,methodisch gesicherte Erforschung vergangenen menschlichen Handelns auf Basis kritisch geprüfter Überlieferung unter einer spezifischen Fragestellung
Q17573152,Gläubiger,"Person, die einem Glaubenssystem anhängt"
Q233591,Kommunistische Partei,"politische Partei, die den Kommunismus (die klassenlose Gesellschaft) als Gesellschaftsordnung anstrebt"
Q707813,Hansestadt,Mitglied der Hanse
Q1187811,Universitätsstadt,Stadt mit Sitz einer Universität
Q11881845,Siedlungstyp Stadt in Estland,Siedlungstyp in Estland
Q171263,agglutinierende Sprache,Typus eines Sprachbaus
Q33328,ostseefinnische Sprachen,Sprachfamilie vom Nord-Osten Europa
Q34113,uralische Sprachen,Sprachfamilie
Q432,Islam,zweitgrößte Weltreligion mit einem Gott
Q33146,Bantusprachen,Sprachfamilie
Q2209395,Sabaki-Sprachen,Sprachfamilie
Q1649443,Nationalkirche,"christliche Kirchen, deren Organisation sich auf einen einzelnen Staat bezieht"
Q34030,südkaukasische Sprachen,Sprachfamilie
Q147576,balkanromanische Sprachen,Sprachgruppe
Q483394,Genre,"Klassifikation in Kunst und Journalismus nach räumlichen, zeitlichen und inhaltlichen Bezug"
Q8253,Fiktion,"künstlerische Werke, welche nicht die reale Welt behandeln"
Q1107679,Animationsstudio,"Filmstudio, das animierte Filme herstellt"
Q1762059,Filmproduktionsgesellschaft,"Firma, die Fernsehsendungen, Filme oder Ähnliches produziert"
Q2095549,Pilot,Führer eines Luftfahrzeugs
Q2135465,Rechtsbegriff,für rechtliche Zwecke definierter Begriff
Q1072363,Chief Officer,berufliche Position
Q106085,nordgermanische Sprachen,Sprachfamilie
Q1441305,klinisches Zeichen,zeigt Krankheitssymptome an
Q212948,Partisan,Mitglied einer Guerrilla
Q1125062,Rebell,Person die einem individuellen oder kollektiven Aufstand (Rebellion) beteiligt ist
Q4991371,Soldat,bewaffneter Angehöriger einer Armee
Q15811108,Führerpartei,"Politische Partei die auf eine Person zugeschnitten ist, welche die politischen Ziele und Wege vorgibt und alle wesentlichen Entscheidungen trifft"
Q7930989,Stadtsiedlung,Stadt als Siedlungsart
Q209465,Campus,zusammenhängende Komplex von Universitäten und anderen Hochschulen oder Forschungsinstituten
Q2465832,Wissenschaftsdisziplin,Teilbereich einer Einzelwissenschaft
Q1075651,Keyboarder,"Musiker, der Keyboard spielt"
Q16869121,Eigentümer,"Person, der etwas gehört"
Q23442,Insel,"vollständig von Wasser umgebenes Stück Land, das nicht als Kontinent gilt"
Q212434,olympische Sportart,Sportart mit Wettbewerben bei den Olympischen Spielen
Q11047409,Athletik,Gruppe von Individualsportarten
Q408804,Borough in New York City,Verwaltungseinheiten von New York City
Q1346149,Komplikation,"unerwünschte Folge einer Krankheit, eines Unfalls, eines Eingriffs oder eines Medikaments"
Q389735,Herz-Kreislauferkrankung,Erkrankungen des Herzens und der Blutgefäße
Q13416354,Mineraloge,"jemand, der sich mit Mineralien befasst"
Q2588761,Handelsmann,Beruf
Q17176618,Schmuggler,"Person, die illegal Schmuggel betreibt"
Q846570,Amerikaner,Staatsbürger der USA
Q3243461,Sammler,"Person, deren Beruf oder Hobby es ist, Dinge zu sammeln"
Q1650915,Forscher,"Person, die wissenschaftlich forscht"
Q41511,Weltsprache,internationale Verkehrssprache mit großer Bedeutung
Q816264,Formalwissenschaft,"beschäftigt sich mit formalen systemen wie z.B. Logik, Mathematik oder Spieltheorie"
Q2740635,Stadtbezirk in Deutschland,Verwaltungseinheit von deutschen Städten
Q17167049,Literaturwissenschaftler,"Tätigkeit, Beruf"
Q2085381,Verlag,"Medienunternehmen, das Werke der Literatur, Kunst, Musik, Unterhaltung oder Wissenschaft vervielfältigt und verbreitet"
Q847027,Grande école,Hochschule in Frankreich
Q3391743,bildender Künstler,"Künstler, der sichtbare Kunstwerke erschafft"
Q12813115,Stadtgebiet in Schweden,"Gebiet mit einer Bevölkerung >= 200, <200 m Abstand zwischen der Bebauung"
Q786820,Automobilhersteller,"Unternehmen der Automobilindustrie, die Automobile produzieren"
Q3914,Schule,Institution für den Unterricht von Schülern unter Leitung von Lehrern
Q806798,Bankier,"Person, die im privaten Bankensektor arbeitet"
Q28389,Drehbuchautor,Verfasser eines Drehbuchs
Q33829,Bevölkerung,Bezeichnung für die menschliche Population
Q231002,Nationalität,Zugehörigkeit einer Person zu einem Staat
Q16335296,historischer Beruf,"Beruf oder Profession, die aufgehört hat zu existieren"
Q11569986,Druckgrafiker,"Person, die auf handwerklichem oder maschinellem Wege Grafiken herstellt"
Q181916,Herbarium,wissenschaftliche Sammlung getrockneter Pflanzen
Q1221156,Bundesland,teilsouveräner Gliedstaat der Bundesrepublik Deutschland
Q33612,Japanisch-Ryūkyū,Sprachfamilie
Q33648,isolierte Sprache,"Sprache, bei der sich keine genetische Verwandtschaft zu irgendeiner anderen Sprache nachweisen lässt"
Q207320,Paramilitär,meist dem Innenministerium unterstellte militärische Gruppe
Q781132,Teilstreitkraft,Teil der Streitkräfte
Q1066984,Finanzplatz,"Ort, an dem es eine hohe Konzentration von Banken und anderen Finanzinstitutionen gibt"
Q1375749,Europastadt,"Selbstbezeichnung einer Stadt, die sich der europäischen Verständigung besonders verpflichtet fühlt"
Q42744322,Stadt in Deutschland,Gemeinde mit Stadtrecht in Deutschland
Q1183543,Gerät,"Gegenstand mit dem etwas bearbeitet, hergestellt oder bewirkt werden kann"
Q3537288,Enthauptungsgerät,Maschine zum abtrennen des Kopfes vom Rumpf
Q35034452,Ortsteil von Berlin,Abgegrenzter Teil eines Berliner Bezirks ohne eigene Verwaltung
Q2023214,politische Parteien in Deutschland,Überblick über die politische Parteien in Deutschland
Q2257409,Schwesterpartei,CDU/CSU in Deutschland
Q6738353,Volkspartei,"eine Partei, die prinzipiell für Menschen aller Schichten und Weltanschauungen offen ist"
Q20826540,Gelehrter,Person mit großem Wissensschatz
Q4959796,Brusterkrankung,Erkrankung der Brustdrüse
Q3957,Kleinstadt,Stadt unter 20.000 Einwohnern und regionaler Funktion
Q2755753,Stadtteil von London,"Stadtteil in Londen, England, Grossbritannien"
Q947873,Fernsehmoderator,Person die Fernsehsendungen leitet
Q1642960,politischer Kommentator,Kommentator im Bereich der Politik
Q13219447,Sportjournalist,"Person, die Reportagen und Berichte von Sportereignissen medial veröffentlicht"
Q1075106,state university system,Verbund staatlicher Universitäten in den USA
Q2385804,Bildungseinrichtung,Einrichtung mit Bildungsauftrag
Q852857,Sexarbeiter,"Person, die beruflich Sex praktiziert"
Q10800557,Filmschauspieler,"Schauspieler, der in Filmen auftritt"
Q1630100,Modell,"Person, die einem Künstler Modell steht"
Q223393,Literaturgenre,Einordnung literarischer Werke
Q36279,Biografie,Lebensbeschreibung einer Person
Q21518270,US-Staatshauptstadt,Hauptstadt eines Bundesstaates der Vereinigten Staaten
Q7748,Recht,Norm oder Befugnis
Q2154459,Town in New England,Verwaltungseinheit in den US-Amerikanischen New-England-Staaten mit speziellen Ausprägungen
Q1064904,Verletzung,Schaden bzw. Funktionsstörung eines Lebewesens
Q132821,Mord,Vorsätzliche Tötung eines Menschen
Q79913,Nichtregierungsorganisation,Interessenverband
Q2462658,Manager,"Person im Anstellungsverhältnis, die Managementaufgaben in einer Organisation wahrnimmt"
Q133163,Schlaginstrument,"Musikinstrument, das durch unmittelbares Schlagen zur Schwingung angeregt wird, so entsteht ein Geräusch, Ton oder Klang"
Q230262,Zupfinstrument,saiteninstrument
Q5119,Hauptstadt,politisches Zentrum eines Staates oder einer Verwaltungseinheit und oft Sitz der obersten Staatsgewalten
Q13217644,Município,Verwaltungseinheit in Portugal
Q17505024,Weltraumorganisation,Organisation zur Erforschung des Weltraums
Q188,Deutsch,westgermanische Sprache
Q735,Kunst,schöpferische Tätigkeit
Q1914636,Tätigkeit,Handeln des Menschen
Q337979,Kraftsport,Oberbegriff für verschiedene Sportarten
Q189004,College,Bildungseinrichtung in englischsprachigen Ländern
Q5741069,Rockband,"Gruppe von Musikern, die Rockmusik spielt"
Q5,Mensch,"höheres Säugetier aus der Ordnung der Primaten, Trivialname von Homo sapiens und Homo sapiens sapiens"
Q862597,musikalische Form,"Menge von Organisationsprinzipien, nach denen ein musikalisches Werk aufgebaut ist"
Q484170,Gemeinde in Frankreich,unterste Stufe des französischen Verwaltungsaufbaus
Q7325,Juden,Angehörige des jüdischen Volkes und der jüdischen Religion
Q902814,Grenzstadt,Stadt an einer Landesgrenze
Q1321960,Juristenausbildung in den Vereinigten Staaten,rechtswissenschaftliche Bildungseinrichtung
Q4504549,Geistlicher,Mitglied in einer religiösen Gemeinschaft
Q255274,Angestellter,"Person, die geistig arbeitet"
Q747802,Mormonentum,"christliche Glaubensgemeinschaften, die sich neben der Bibel auf das Buch Mormon berufen"
Q911069,Brettsport,Oberbegriff von Sportarten
Q15850590,Theatergenre,Einteilung und Untergliederungen von verschiedenen Formen des Theaters
Q15961987,Fernsehgenre,"Gruppe von Fernsendungen, die unter einem spezifischen Aspekt Gemeinsamkeiten"
Q838948,Kunstwerk,Erzeugnis künstlerischen Schaffens
Q1318295,Erzählung,"kreatives Werk, das Ereignisse auf eine bestimmte Art und Weise darstellt"
Q7725634,literarisches Werk,"schöpferisches Werk eines Authors welches ästhetische, akademische oder unterhaltende Zwecke erfüllt"
Q8359428,Sozialaktivist,"Person, die aktiv für die Bürgergemeinschaft arbeitet"
Q15895020,Raumfahrtingenieur,Beruf in der Raumfahrtindustrie
Q11023,Ingenieurwissenschaft,"Sammelbegriff für Wissenschaften, die sich mit Technik befassen"
Q11401,Hip-Hop,Musikstil
Q2039348,Gemeinde in den Niederlanden,unterste Stufe des Verwaltungsaufbaus in den Niederlanden
Q15265344,Rundfunkveranstalter,Betreiber von Hörfunk- und Fernsehprogrammen
Q156839,Koch,"Person, die Speisen zubereitet"
Q1936384,Teilgebiete der Mathematik,Gruppierung der Unterdisziplinen der Mathematik
Q395,Mathematik,"Wissenschaft, die durch logische Definitionen geschaffene abstrakte Strukturen mittels der Logik auf ihre Eigenschaften und Muster untersucht"
Q28797,angewandte Wissenschaft,wissenschaftliche Disziplinen mit Schwerpunkt im Praxisbezug
Q3958441,Wirtschaftssektor,Teilbereich einer (Volks-)Wirtschaft
Q1414443,Filmemacher,Schöpfer einer filmischen Arbeit
Q178790,Gewerkschaft,Vereinigung von abhängigen Erwerbspersonen zur Vertretung ihrer wirtschaftlichen und sozialen Interessen
Q486983,akademischer Rang,hierarchischer Rang unter Akademikern
Q3320743,Ehrentitel,"Würdigung einer Person, eines Ortes, einer Gruppe usw."
Q1622272,Hochschullehrer,"Person, die an einer Hochschule lehrt und forscht"
Q269770,Internat,"Schule, in der die Schüler während des Schuljahres wohnen"
Q1713379,Jungenschule,Schule nur für männliche Personen
Q1972829,Public School,Privatschulform in England
Q2418495,Independant School,Indenpendant School in England
Q19844914,Universitätsgebäude,einzelnes Gebäude einer Universität
Q1244442,Schulgebäude,"Gebäude, das von einer Schule genutzt wird"
Q1097498,Herrscher,"Oberhaupt eines Stammes, Volkes, Reiches oder Landes"
Q20074337,Automobilsportteam,Team im Autorennsport
Q15648574,Konstrukteur (Motorsport),Unternehmen im Motorsport
Q10349745,Autorennfahrer,"Person, die mit einem Auto Rennen fährt"
Q378622,Rennfahrer,"Person, die mit einem Fahrzeug oder Sportgerät Rennen bestreitet"
Q5367,Motorsport,Sportarten mit motorgetriebenen Fahrzeugen
Q878123,Rennen,"Wettkampf wo der Gewinner ist, wer die Rennstrecke in der kürzesten Zeit zurückgelegt hat"
Q570116,Sehenswürdigkeit,Touristische Attraktion
Q56242250,"anglikanische Kirche, die Bischofssitz ist","Kirchen, die Sitz der Bischöfe der anglikanischen Gemeinschaft sind"
Q155271,Denkfabrik,projektorientierte Sozial- und Politikforschung
Q82955,Politiker,"Person, die ein politisches Amt oder ein politisches Mandat innehat oder ernsthaft begehrt"
Q50995749,Person des Sports,Person mit einer aktiven Rolle im Sport
Q978044,Führungskraft,Person mit Weisungsbefugnis in einer Organisation oder in der öffentlichen Verwaltung
Q1162163,Leiter,Leitung einer Organisation
Q1530022,Glaubensgemeinschaft,"Organisation, die die gemeinschaftliche Ausübung einer Religion bezweckt"
Q11263525,Koreanische Sprachen,Sprachfamilie
Q188638,affektive Störung,psychische Erkrankung
Q7850,Chinesisch,Primärzweig der sinotibetischen Sprachfamilie
Q15253558,Aktivist,"Person, die in besonders intensiver Weise für die Durchsetzung bestimmter Ziele eintritt"
Q272231,Arboretum,"Sammlung verschiedenartiger Gehölze, z.B. in Form eines botanischen Gartens"
Q22813352,Reisender,"Person, die sich auf einer Reise befindet"
Q576349,Enzephalopathie,Nervenkrankheit
Q1266890,Durchblutungsstörung,Krankheit
Q2125610,Radfahrer,"Person, die ein Fahrrad zur Fortbewegung verwendet"
Q2312410,Sportdisziplin,einzelne Wettkampfart innerhalb einer Sportart
Q2215841,Radsport,"Sportart, die mit dem Fahrrad ausgeführt wird"
Q6388,Schwimmen,Fortbewegung von Lebewesen im Wasser
