ID,label,description
Q335487,William Richard Morris,britischer Firmengründer und Philanthrop
Q302842,From Beginning to End,Film von Aluizio Abranches (2009)
Q468523,Ali Smith,schottische Schriftstellerin
Q324075,Robert Shakespeare,jamaikanischer Musiker
Q245355,Zygmunt Krasiński,polnischer Dichter und Dramatiker
Q2144507,René-Maurice Gattefossé,französischer Chemiker und Parfümeur
Q170194,Astrid von Belgien,belgische Prinzessin
Q127959,Joseph Norman Lockyer,englischer Astronom
Q45583,Alfred Reisinger,deutscher Politiker
Q1150437,Victoria University of Wellington,Universität in Neuseeland
Q327499,Hugo Race,australischer Gitarrist
Q440,Salvador Allende,Arzt und von 1970 bis 1973 Präsident Chiles
Q119443,Hans Lorbeer,deutscher Schriftsteller
Q79718,Tuskegee,Stadt im US-Bundesstaat Alabama
Q235115,Maria de Medeiros,"portugiesische Schauspielerin, Sängerin, Filmregisseurin und Drehbuchautorin"
Q3185339,Joseph Masson,kanadischer Politiker und Geschäftsmann
Q464943,Miroslav Vilhar,"slowenischer Autor, Komponist und Politiker"
Q106466,Maryam Zaree,deutsche Schauspielerin
Q2541525,Waldfriedhof Stuttgart,Friedhof in Stuttgart
Q120407,Eugen Bauder,deutscher Schauspieler und Model
Q57603,Erich Auerbach,deutscher Literaturwissenschaftler und Romanist
Q188539,Glam Metal,ein Subgenre des Heavy Metal
Q109843,Ludwig Franz,"deutscher Politiker (CSU), MdB"
Q1633346,Hubert Olbrich,deutscher Lebensmitteltechnologe
Q54867,Trace Cyrus,US-amerikanischer Musiker
Q179582,Aysel Tuğluk,türkische Juristin und Politikerin
Q92371,Theodor Barth,"deutscher Politiker, MdR und Publizist"
Q151928,Betsy Jones-Moreland,US-amerikanische Schauspielerin
Q17391638,Kunsttheoretiker,"Person, die Kunst in der Theorie ausübt"
Q324366,Shaun Cassidy,"US-amerikanischer Popsänger, Schauspieler und Fernsehproduzent"
Q375186,Rookie – Der Anfänger,Film von Clint Eastwood (1990)
Q202650,Abd al-Karim,Führer der Rif-Berber
Q9798,Saxophon,Musikinstrument
Q937507,Gleb Jewgenjewitsch Losino-Losinski,sowjetischer Ingenieur
Q448404,Julia Lee,US-amerikanische Jazz- und Bluesmusikerin
Q3870,Nairobi,Hauptstadt von Kenia
Q144354,Dimitri Logothetis,"US-amerikanischer Schauspieler, Regisseur und Filmproduzent"
Q275875,Verka Serduchka,ukrainischer Sänger
Q4463481,Nikolai Troizki,russischer Historiker
Q257145,Stan Kirsch,US-amerikanischer Schauspieler (1968-2020)
Q232783,Maria Malibran,französische Opernsängerin (Mezzosopran) (1808-1836)
Q861241,Fukuchi Gen’ichirō,japanischer Schriftsteller und Journalist
Q18555243,Lungentuberkulose,Krankheit
Q427864,Piero Chiambretti,italienischer Fernsehregisseur
Q246997,Bevor es Nacht wird,Film von  Julian Schnabel (2000)
Q329841,Pan Yue,chinesischer Politiker und Vizeumweltminister der Volksrepublik China
Q98805,Kurt Beyer,deutscher Ingenieur und Professor
Q55735,Aroon Tikekar,indischer Autor und Journalist
Q732114,Marc Seguin,französischer Ingenieur
Q1384731,Michael B. Tretow,"schwedischer Musikproduzent, Tontechniker und Musiker"
Q998080,Olivier Zschokke,Schweizer Ingenieur
Q2971,Paderborn,Großstadt in Nordrhein-Westfalen
Q266779,Amel Bent,französische Popsängerin
Q68669,Montagny-près-Yverdon,Gemeinde in der Schweiz
Q1733964,Thomas M. Cover,US-amerikanischer Statistiker
Q91582,Carl Adolph Cornelius,Historiker
Q168886,Powązki-Friedhof,Friedhof in Warschau
Q121899,Jane Lindskold,US-amerikanische Science-Fiction- und Fantasyautorin
Q60348,Neill S. Brown,US-amerikanischer Politiker
Q4909179,Bill Gore,U.S.-amerikanischer Geschäftsmann
Q75549,August Reinsdorf,deutscher anarchistischer Attentäter
Q129082,Puppetmaster 4,Film von Jeff Burr (1993)
Q534051,Angelica Sanchez,US-amerikanische Jazzpianistin
Q94108,Freda Meissner-Blau,österreichische Politikerin
Q273161,Maud Allan,kanadisch-amerikanische Tänzerin und Schauspielerin
Q265131,Lee Miller,US-amerikanische Fotografin und Journalistin
Q215139,Emily Greene Balch,"US-amerikanische Nationalökonomin, Pazifistin und Friedensnobelpreisträgerin"
Q1324739,Momo Djender,algerischer Popsänger
Q85197,Rainer Zepperitz,deutscher Kontrabassist
Q196617,Abul Kalam Azad,indischer Schriftsteller und Freiheitskämpfer
Q92663,Shang-Hua Teng,chinesischer Informatiker
Q110178,Heinrich Theobald Schenk,deutscher evangelischer Theologe und Kirchenliedkomponist
Q828464,Bertram Karl Steiner,österreichischer Kulturjournalist und Schriftsteller
Q888089,Bob Mamet,US-amerikanischer Jazzmusiker und Komponist
Q98663,Johann Friedrich Heinrich Schlosser,"deutscher Jurist, kaiserlicher Rat, Schriftsteller, Privatgelehrter und Eigentümer von Kloster Neuburg"
Q310150,Stewart Granger,englischer Schauspieler
Q1237479,Domingo Cura,argentinischer Perkussionist
Q113821,Simon von Sina,"griechisch-österreichischer Bankier, Unternehmer und Mäzen"
Q173656,Ernie McCoy,US-amerikanischer Rennfahrer
Q1048333,Cassiano dal Pozzo,italienischer Gelehrter und Mäzen
Q711687,Garry Bushell,britischer Fernsehmoderator und Kolumnist
Q273590,Shaznay Lewis,"britische Schauspielerin, Sängerin und Songwriter"
Q295148,Peter Stormare,schwedischer Schauspieler
Q603343,We Are the Fallen,US-amerikanische Band
Q98746,Herbert Rusche,"deutscher Politiker, MdB und Schwulenaktivist"
Q44845,Peter Sloterdijk,"deutscher Philosoph, Kulturwissenschaftler und Essayist"
Q846430,Futurologe,Wissenschaftler und Sozialwissenschaftler
Q1017757,Buster Bennett,US-amerikanischer R&B-Musiker
Q2713547,Koji Igarashi,"japanischer Computerspielproduzent, Informatiker und Ingenieur"
Q1472474,Southern Illinois University,Universitätsverbund
Q88173,Johannes Brandt,österreichischer Bühnen- und Drehbuchautor
Q1801255,Lalo Guerrero,US-amerikanischer Sänger lateinamerikanischer Musik
Q160618,Brokeback Mountain,Film von Ang Lee (2005)
Q19201,Mike Shinoda,US-amerikanischer Musiker und Musikproduzent
Q104802,Wilhelm Ehmer,deutscher Schriftsteller
Q622946,Aqua Teen Hunger Force,Fernsehserie
Q179493,Bertil Ohlin,schwedischer Ökonom
Q43239,Ballaigues,Gemeinde in der Schweiz
Q1010586,Buren Bayar,chinesischer Volkssänger
Q687270,Jeff T. Alu,US-amerikanischer Amateurastronom
Q61282,Maximilian zu Wied-Neuwied,deutscher Entdecker und Naturforscher
Q85793,Julius Rodenberg,deutscher Journalist und Schriftsteller
Q862172,Bill Gwatney,US-amerikanischer Politiker
Q114191,Willem Joseph Andreas Jonckbloet,Hochschullehrer
Q39970,Buffy – Der Vampir-Killer,Film von Fran Rubel Kuzui (1992)
Q6173722,Jeff Donaldson,amerikanischer Künstler (1932-2004)
Q5475,Treviso,Stadt in Italien
Q145030,Jean-Baptiste Tavernier,französischer Reisender und Baron von Aubonne in der Schweiz
Q11425,Animation,technische Verfahren zur Herstellung von Animationsfilmen
Q594881,William Denison,britischer Gouverneur
Q133653,Lara Logan,südafrikanische Journalistin und Kriegsberichterstatterin
Q102139,Margrethe II.,Königin von Dänemark
Q270272,Rockefeller University,Universität in den Vereinigten Staaten
Q961412,Jewgeni Lasarewitsch Roschal,russischer Programmierer
Q1132632,Corey Johnson,US-amerikanischer Schauspieler
Q605,Ezra Klein,US-amerikanischer politischer Kolumnist
Q736218,Gundowald,"französischer Adliger, König von Aquitanien"
Q922336,Pino Rauti,italienischer Politiker
Q229220,Maria Bello,US-amerikanische Schauspielerin
Q1990688,Nikolai Alexandrowitsch Astrow,russischer Konstrukteur
Q8440,Hugo Chávez,"venezolanischer Offizier, Politiker und ehemaliger Staatspräsident von Venezuela"
Q96030,Ludwig Haas,deutscher Schauspieler
Q87679,Daniel Fenner von Fenneberg,österreichischer Anführer des Aufstands in der Pfalz 1849
Q152850,Raoul Wallenberg,schwedischer Diplomat
Q441845,Teri Weigel,US-amerikanische Pornodarstellerin
Q851,Saudi-Arabien,Staat in Vorderasien
Q438190,Livio Lorenzon,italienischer Schauspieler
Q121187,Americo Marazzi,Schweizer Architekt und Politiker (FDP)
Q2005511,Universität von Fort Hare,Universität in Südafrika
Q303680,Stanley Fish,US-amerikanischer Literaturwissenschaftler
Q110485,Hans Schütz,"deutscher Politiker (DCSV/CSU), MdB (1949–1963) sowie Arbeits- und Sozialminister in Bayern"
Q63421,Max Brauer,"deutscher Politiker (SPD), MdHB, MdB"
Q816079,Belly,US-amerikanische Band
Q92605,John Carmack,US-amerikanischer Programmierer und Computerspielentwickler
Q119103,Jacques-André Maire,Schweizer Politiker
Q18593,Claudio Sanchez,US-amerikanischer Autor und Musiker
Q1144183,Russell Ohl,US-amerikanischer Elektrochemiker
Q96678,Georg Daniel Teutsch,Bischof der Evangelischen Kirche A.B. in Siebenbürgen
Q194101,Kleinwuchs,"Bezeichnung für ein nicht der Norm entsprechendes, geringeres Körperlängenwachstum"
Q311517,Kevin Zegers,kanadischer Schauspieler
Q650489,Markgrafschaft Baden,historisches deutsches Fürstentum
Q103451,Fritz Rück,sozialistischer Politiker und Gewerkschafter
Q1476,Le Mans,französische Gemeinde
Q602976,Klatovy,Gemeinde in Tschechien
Q465196,Rex Brown,US-amerikanischer Bassist
Q263732,Ko Yong-hi,"nordkoreanische Persönlichkeit, Ehepartnerin von Kim Jong-il"
Q119123,Gaston Brahier,Schweizer Politiker (FDP)
Q32055,Bernard Arnault,französischer Unternehmer
Q120637,Pirmin Schwander,Schweizer Politiker
Q592387,The Seekers,australische Band
Q123067,Americus,Stadt im US-Bundesstaat Georgia
Q77744,Stephan Hermlin,deutscher Schriftsteller und Übersetzer
Q250539,Edward Bunker,US-amerikanischer Krimiautor
Q123273,Alain de Botton,Schweizer in London lebender Schriftsteller
Q823939,Bernd Neuendorf,deutscher Journalist und Politiker (SPD)
Q447831,Andrei Ljaptschew,bulgarischer Politiker und Ministerpräsident
Q109304,Sebastian Bezzel,deutscher Schauspieler
Q105294,Christian Keimann,deutscher Pädagoge und Dichter
Q72498,Rick Lazio,US-amerikanischer Politiker
Q266429,Junkie XL,niederländischer DJ
Q157835,Saporischschja,Stadt in der Ukraine
Q60389,Johannes Althusius,deutscher Rechtsgelehrter und Politiker in Emden
Q117511,Fritz Brupbacher,"Schweizer Arzt, libertärer Sozialist und Schriftsteller"
Q111760,Albert Hoffmann,"deutscher Kaufmann und Politiker (NSDAP), MdR, Gauleiter"
Q57281,August Wilhelm Schlegel,"deutscher Literaturhistoriker, Übersetzer, Schriftsteller, Indologe und Philosoph"
Q317032,Heinrich-Heine-Universität Düsseldorf,Universität in Deutschland
Q371278,"Liebe mich, wenn du dich traust",Film von Yann Samuell (2003)
Q3376883,Peter Simons,kanadischer Geschäftsmann
Q103711,Bernhard Eisenstuck,deutscher Politiker und Fabrikant
Q7714798,The Atlanta Child Murders,Film von John Erman
Q58158,Bruno Stagno Ugarte,costarikanischer Politiker und Diplomat
Q482802,IS (Infinite Stratos),Fernsehserie
Q44379,The Miz,US-amerikanischer Wrestler
Q313043,Richard Jenkins,US-amerikanischer Schauspieler
Q363823,Christoffer Wilhelm Eckersberg,dänischer Maler
Q1159175,Dan Tepfer,US-amerikanischer Jazzmusiker
Q167411,Die Fälscher,Film von Stefan Ruzowitzky (2007)
Q438260,Hoda Barakat,libanesische Autorin
Q120780,Samuel Brawand,Schweizer Politiker (SP) und Bergsteiger
Q14550,Escholzmatt-Marbach,"Gemeinde im Kanton Luzern, Schweiz"
Q387066,Schweizerdeutsch,Gruppe aller alemannischer Dialekte in der Schweiz
Q201492,McGill University,Universität in Kanada
Q335863,Paul McGann,englischer Schauspieler
Q331479,Jean Daninos,französischer Unternehmer und Autokonstrukteur
Q60318,Karl Heinrich Ulrichs,"deutscher Jurist, Journalist und Verleger"
Q28938,Alfred von Schlieffen,"preußischer Offizier, zuletzt Generalfeldmarschall und Chef des Großen Generalstabes"
Q187916,Pferderennen,"Pferdesport, bei dem die Pferde so schnell wie möglich eine bestimmte Strecke zurücklegen müssen"
Q123041,Anne Louise Germaine de Staël,französische Schriftstellerin
Q235934,Lisa Stansfield,britische Sängerin
Q94692,Sebastian Brunner,katholischer Geistlicher und Schriftsteller
Q70046,Ursins,Gemeinde in der Schweiz
Q37628,Mila Kunis,US-amerikanische Schauspielerin und Synchronsprecherin
Q431204,Tonya Kinzinger,US-amerikanische Schauspielerin
Q1460491,Friedrich Konrad Griepenkerl,"deutscher Germanist, Pädagoge, Musikwissenschaftler und Dirigent"
Q782813,Ernest Poole,US-amerikanischer Schriftsteller
Q957361,Gene Cantamessa,US-amerikanischer Tontechniker und Oscarpreisträger
Q44934,Venantius Fortunatus,Dichter und Hagiograph der Merowingerzeit und Bischof von Poitiers
Q73549,Adolf Mützelburg,preußisch-deutscher Schriftsteller
Q185965,Sultanmachmut Toraighyrow,kasachischer Schriftsteller und Dichter
Q320583,Clay Walker,US-amerikanischer Country-Sänger
Q175071,Bezirk Weinfelden,"Bezirk im Kanton Thurgau, Schweiz"
Q86768,Bel Air,Stadtteil von Los Angeles
Q119561,Hanspeter Gass,Schweizer Politiker
Q37985,Kärnten,Bundesland von Österreich
Q64183,Küssnacht am Rigi,Gemeinde im Kanton Schwyz in der Schweiz
Q338678,The Treatment,eine US-amerikanische Filmkomödie von Oren Rudavsky aus dem Jahr 2006
Q28500,Stadio Renzo Barbera,Fußballstadion in Italien
Q1507031,George Buford,US-amerikanischer Blues-Musiker
Q2097569,Piz Cristallina,Berg in den Alpen
Q53403,Dwight Filley Davis,US-amerikanischer Politiker und Tennisspieler
Q213156,Performance,nicht wiederholbare künstlerische Darbietung
Q435412,Jurgita Jurkutė,"litauisches Fotomodell, Miss Litauen"
Q3127914,Harry Shannon,US-amerikanischer Schauspieler
Q973884,St Edmund Hall,College der Universität Oxford
Q454081,Kenny Baker,britischer Schauspieler
Q381920,Javier Cercas,"spanischer Schriftsteller, Journalist und Professor für spanische Literatur"
Q1027800,Pottsville,Stadt im US-Bundesstaat Pennsylvania
Q333519,"John Morley, 1. Viscount Morley of Blackburn","britischer Staatsmann, Autor und Zeitungsmann"
Q1903626,Martin Dolde,deutscher Ingenieur und Kirchenpolitiker
Q314407,Europe 1,französischsprachiger Radiosender
Q729590,Fontana-Records,Schallplattenfirma
Q3568464,William Bullock Ives,kanadischer Politiker
Q235248,Rachael Taylor,australische Schauspielerin und Model
Q327819,Grant McLennan,"australischer Gitarrist, Bassist, Sänger und Songwriter"
Q55366,Bogusław Linda,polnischer Schauspieler
Q2189587,David Clapham,"südafrikanischer Ingenieur, Rennfahrer, Journalist und Formel-1-Fahrer"
Q163612,Adolfo Alejandro Nouel,Staatspräsident der Dominikanischen Republik und Erzbischof
Q20873384,Althistoriker,Historiker im Bereich der Alten Geschichte
Q85967,Friedrich Adler,"österreichischer Jurist, Politiker und Übersetzer"
Q85618,Nicolas Born,deutscher Schriftsteller
Q168515,University of Utah,staatliche Universität in Salt Lake City
Q683,Samoa,Inselstaat in Ozeanien
Q68143,Ernst August Friedrich Klingemann,deutscher Schriftsteller der Romantik
Q507162,Andrew Sarris,amerikanischer Filmkritiker und -autor
Q99882,Hans Westermann,"deutscher Politiker (SPD, KPD), MdHB und antifaschistischer Widerstandskämpfer"
Q260134,Brea Grant,US-amerikanische Schauspielerin
Q191305,Gérard de Nerval,französischer Schriftsteller
Q57438,Macky Sall,"senegalesischer Politiker, Präsident der Republik"
Q241674,Repli-Kate,Film (2002)
Q233289,Atal Bihari Vajpayee,indischer Premierminister
Q539494,Krypteria,deutsche Band
Q65769,Ellikon an der Thur,Gemeinde in der Schweiz
Q95352,Otto Hoetzsch,"deutscher Wissenschaftler und Politiker (Deutschkonservative Partei, DNVP, KVP), MdR"
Q1349702,Joey Cape,US-amerikanischer Rockmusiker
Q634763,John Elefante,US-amerikanischer Rockmusiker
Q139385,Zach Roerig,US-amerikanischer Schauspieler
Q456194,Sid Luckman,US-amerikanischer American Footballspieler
Q445727,Louise Rhodes,britische Sängerin und Songwriterin
Q47904,Mario Monti,italienischer Politiker
Q9217,Thailändisch,Kam-Tai-Sprache innerhalb der Tai-Kadai-Sprachfamilie
Q1406829,Fernando Sancho,spanischer Schauspieler
Q996987,Giesbert Damaschke,deutscher Germanist und Publizist
Q263748,Francia Raisa,US-amerikanische Schauspielerin
Q515563,Gerrit Jan van Heuven Goedhart,niederländischer Jurist und UN Hochkommissar für Flüchtlinge
Q181991,Jools Holland,"britischer Pianist, Bandleader und Fernsehmoderator"
Q712917,Robert Forster,australischer Sänger und Songwriter
Q102775,Jakob Immanuel Pyra,deutscher Dichter
Q395340,Agop Dilâçar,türkischer Sprachwissenschaftler armenischer Herkunft
Q328335,Georges Descrières,französischer Schauspieler
Q569722,Ansgar Lange,deutscher Journalist
Q159054,Operation Walküre – Das Stauffenberg-Attentat,Film von Bryan Singer (2008)
Q876706,Louis Antoine Debrauz de Saldapenna,"österreichischer Geheimdiplomat, Journalist und Autor"
Q351250,Vicente Salias,"venezolanischer Revolutionär, Journalist und Schriftsteller"
Q90827,Hans-Peter Uhl,"deutscher Politiker, MdB und Rechtsanwalt (1944-2019)"
Q270149,Paul Wesley,US-amerikanischer Filmschauspieler
Q58010,Wilhelm Karl von Urach,Chef des Hauses Urach und General der Kavallerie in der Württembergischen Armee
Q518839,André Gertler,ungarischer Violinist und Violinpädagoge
Q87475,Eduard Rhein,"deutscher Erfinder, Publizist und Schriftsteller, Geigenvirtuose und Journalist"
Q109501,Richard von Helmholtz,deutscher Ingenieur und Eisenbahnkonstrukteur
Q41563,Julia Gillard,27. Premierministerin von Australien (2010-2013)
Q469333,Maria Rosseels,flämisch-belgische Schriftstellerin und Journalistin
Q363168,Adolf Linnebach,deutscher Bühnentechniker
Q128902,William Pitt der Jüngere,britischer Premierminister
Q76179,Megawati Sukarnoputri,"indonesische Politikerin, Präsidentin Indonesiens"
Q862038,Bill Dana,US-amerikanischer Entertainer und Musiker
Q35610,Arthur Conan Doyle,britischer Arzt und Schriftsteller
Q118720,Winfried Nachtwei,"deutscher Politiker, MdB"
Q125701,Eduard Claudius,deutscher Schriftsteller und Diplomat (DDR)
Q5173133,Kaperfahrt,Buch von Clive Cussler
Q913265,Brian Yale,"US-amerikanischer Musiker, Bassist der US-Band Matchbox Twenty"
Q85840,Peter Danckert,"deutscher Politiker, MdB"
Q2268597,Vereinigte Provinzen von Mittelitalien,historischer Staat
Q183776,Leo I.,Oströmischer Kaiser
Q1374752,Mo Ibrahim,"sudanesisch-britischer Unternehmer, Aktivist für gute Regierungsführung"
Q316051,Lasse Hallström,schwedischer Filmregisseur
Q67168,Urnäsch,Gemeinde in der Schweiz
Q216904,Aleksis Kivi,finnischer Nationalschriftsteller
Q254,Wolfgang Amadeus Mozart,Musiker und Komponist der Wiener Klassik sein Werk gehört zum Bedeutendsten im Repertoire klassischer Musik.
Q1314450,"George Elliot, 1. Baronet of Penshaw",britischer Hersteller des ersten Transatlantikkabels
Q446129,Naach,Film von Ram Gopal Varma (2004)
Q1386203,Michael Shuman,US-amerikanischer Rockmusiker
Q267786,Sarah Lucas,britische zeitgenössische Künstlerin
Q1324813,Elaine Leighton,US-amerikanische Schlagzeugerin
Q720725,Eric Bell,nordirischer Musiker
Q111970,Petra Bierwirth,"deutsche Politikerin (SPD), MdL, MdB"
Q672990,Bilhorod-Dnistrowskyj,Stadt in der Ukraine
Q179581,Roland Totheroh,US-amerikanischer Kameramann
Q527888,Andy Töfferl,österreichischer Musiker und Entertainer
Q75104,Emil Frommel,deutscher Theologe und Volksschriftsteller
Q126377,Lars Ahlin,schwedischer Schriftsteller
Q586493,Krzysztof Teodor Toeplitz,"polnischer Journalist, Publizist, Filmkritiker und Drehbuchautor"
Q105575,Theodor Brugsch,"deutscher Mediziner und Politiker, MdV"
Q723703,Woolf Barnato,britischer Autorennfahrer und Finanzier
Q76277,Julius Hart,deutscher Dichter und Dramatiker des Naturalismus und Literaturkritiker
Q101757,Jutta Oesterle-Schwerin,deutsche Politikerin
Q114656,Otto Mainzer,deutscher Schriftsteller
Q169516,The Kelly Family,irische Musikgruppe
Q148065,Francisco Lagos Cházaro,mexikanischer Rechtsanwalt und Politiker
Q77796,Hermann Wendel,"deutscher Historiker, Balkanforscher, Journalist, Schriftsteller und Politiker (SPD), MdR"
Q60697,Adolf Friedrich zu Mecklenburg,"Afrikareisender, Gouverneur der deutschen Kolonie Togo, Präsident des Deutschen Olympischen Komitees"
Q3594013,Ōe Taku,japanischer Geschäftsmann
Q238731,Paul Henri d’Estournelles de Constant,Gründer und Präsident der Französischen Parlamentarischen Gruppe für freiwillige Schiedsgerichtsbarkeit
Q712324,Arthúr Bollason,"isländischer Journalist, Schriftsteller und Übersetzer"
Q102670,Hans Hansen Palmus,deutscher Volksschullehrer und niederdeutscher Heimatdichter
Q102384,Martin Albrecht,"deutscher Politiker (NSDAP), MdR, Oberbürgermeister von Frankfurt (Oder)"
Q3186249,Claudio Aranzadi,spanischer Politiker
Q174327,David Sainsbury,britischer Unternehmer und Politiker
Q166850,Charles J. Colden,US-amerikanischer Politiker
Q113605,Gisa Zach,deutsche Schauspielerin
Q3546255,Ozeanograph,"Wissenschaftler, der sich mit den Ozeanen beschäftigt"
Q1370632,David Thornton,US-amerikanischer Schauspieler
Q63508,Osias Thon,Rabbiner und zionistischer Politiker
Q182785,Geoffroy du Breuil,französischer Geistlicher und Chronist
Q134620,Jyväskylä,Stadt in Finnland
Q17676,Nora Stanton Blatch Barney,"US-amerikanische Bauingenieurin, Architektin und Suffragette"
Q673439,Carlos María Domínguez,argentinischer Schriftsteller
Q1373629,Michael Gira,"US-amerikanischer Musiker, Gründer und Bandchef der Formation Swans"
Q70890,Rudolf Breitscheid,"deutscher Politiker (DV, SPD, USPD), MdR"
Q92518,Ilse Fürstenberg,deutsche Schauspielerin
Q35,Dänemark,Staat in Nordeuropa
Q167636,Farah Khan,indische Choreografin
Q118187,Karl Scheurer,Schweizer Politiker (FDP)
Q540871,Sisseln,Gemeinde in der Schweiz
Q956,Peking,Hauptstadt der Volksrepublik China
Q445701,Kenneth Lay,US-amerikanischer Geschäftsmann und ehemaliger CEO des Energiekonzerns Enron
Q97571,Sabine Orléans,deutsche Schauspielerin
Q70471,Henry Nicholas Bolander,deutsch-amerikanischer Botaniker
Q95960,Ernst Theodor Echtermeyer,deutscher Schriftsteller
Q71491,Hedwig Dohm,deutsche Schriftstellerin und Frauenrechtlerin
Q18415,Außergewöhnliche Geschichten,Episodenfilm
Q235,Monaco,Stadtstaat in Südeuropa
Q107420,Sheldon Lee Glashow,US-amerikanischer Physiker
Q632484,Scars on Broadway,US-amerikanische Band
Q48995,"Blood, Sweat & Tears",US-amerikanische Jazzrock-Band
Q587852,Stat Quo,US-amerikanischer Rapper
Q170001,Jung So-min,südkoreanische Schauspielerin
Q887775,Bob Badgley,US-amerikanischer Jazzmusiker
Q438199,Alter Südfriedhof,Friedhof in München
Q234120,Jane Curtin,US-amerikanische Schauspielerin
